num_solar_panels,num_wind_turbines,battery_kwh,scenario_name,annual_demand_kwh,total_cost,annual_kwh_generated,self_sufficiency_pct,annual_savings_eur,payback_period_years,annual_kwh_exported,annual_kwh_curtailed,wind_generation_kwh,solar_generation_kwh,annual_maintenance_cost_eur,annual_amortized_battery_replacement_cost_eur,annual_financing_cost_eur,env_co2_reduction_tons_yr,env_land_use_sqm,env_water_savings_m3_yr,env_waste_factor_pct,env_degradation_rate,soc_local_jobs_fte,soc_energy_resilience_hrs,soc_grid_strain_reduction_pct,soc_community_investment_eur,soc_noise_level_impact_score,gov_payback_plausibility_score,gov_supply_chain_transparency_score,gov_regulatory_compliance_score,gov_stakeholder_reporting_score,gov_operational_risk_score
100,5,250,Small_Office,250000,115900.0,137477,54.5,5635,20.6,713,23,17684,119793,2318,4000,8113,27,195,275,0.0,0.005,0.14,7.0,0.5,116,7.6,1.2,5.8,10,8,9.8
100,5,1333,Small_Office,250000,527440.0,137919,55.1,-48465,50.0,0,0,17959,119960,10549,21328,36921,27,195,276,0.0,0.005,0.63,37.4,0.0,527,7.6,1.0,5.2,10,8,9.6
100,5,2416,Small_Office,250000,938980.0,137242,55.0,-102883,50.0,0,0,17772,119470,18780,38656,65729,27,195,274,0.0,0.005,1.13,67.7,0.0,939,7.6,1.0,5.1,10,8,9.4
100,5,3500,Small_Office,250000,1350900.0,137354,55.1,-157196,50.0,0,0,17727,119627,27018,56000,94563,27,195,275,0.0,0.005,1.62,98.1,0.0,1351,7.6,1.0,5.1,10,8,9.2
100,5,4583,Small_Office,250000,1762440.0,137726,55.4,-211498,50.0,0,0,17850,119876,35249,73328,123371,27,195,275,0.0,0.005,2.11,128.5,0.0,1762,7.6,1.0,5.1,10,8,8.9
100,5,5666,Small_Office,250000,2173980.0,137686,55.5,-265804,50.0,0,0,17808,119878,43480,90656,152179,27,195,275,0.0,0.005,2.61,158.8,0.0,2174,7.6,1.0,5.0,10,8,8.7
100,5,6750,Small_Office,250000,2585900.0,137653,55.7,-320207,50.0,0,0,17789,119864,51718,108000,181013,27,195,275,0.0,0.005,3.1,189.2,0.0,2586,7.6,1.0,5.0,10,8,8.5
100,5,7833,Small_Office,250000,2997440.0,136889,55.5,-374549,50.0,0,0,17449,119440,59949,125328,209821,27,195,274,0.0,0.005,3.6,219.6,0.0,2997,7.6,1.0,5.0,10,8,8.3
100,5,8916,Small_Office,250000,3408980.0,137694,55.9,-428775,50.0,0,0,17628,120066,68180,142656,238629,27,195,275,0.0,0.005,4.09,249.9,0.0,3409,7.6,1.0,5.0,10,8,8.1
100,5,10000,Small_Office,250000,3820900.0,137755,56.1,-483140,50.0,0,0,17812,119943,76418,160000,267463,27,195,276,0.0,0.005,4.59,280.3,0.0,3821,7.6,1.0,5.0,10,8,7.8
